name,quantity,cost_price,unit_price,category,location
NIDO 1-3 370G,1,269,295,MILK,BACK SHELF
NIDO 3+ 370G,2,240.9,280,MILK,BACK SHELF
BEAR BRAND JUNIOR 1+ 400G,0,187.7,215,MILK,BACK SHELF
LACTUM 1-3 350G,0,240,270,MILK,BACK SHELF
LACTUM 1-3 150G,0,115,130,MILK,BACK SHELF
LACTUM 6-12 350G,0,243,270,MILK,BACK SHELF
LACTUM 6-12 150G,0,105.75,120,MILK,BACK SHELF
LACCTUM 0-6 350G,0,210,260,MILK,BACK SHELF
LACTUM 0-6 150G,0,104.75,120,MILK,BACK SHELF
BONNA 0-6 350G,0,229,270,MILK,BACK SHELF
BONNA 0-6 150G,0,102,120,MILK,BACK SHELF
BONAMIL 6-12 350G,2,235,270,MILK,BACK SHELF
BONAMIL 6-12 150G,0,103,120,MILK,BACK SHELF
BONAKID 1+ 350G,0,222,270,MILK,BACK SHELF
BONAKID 3+ 350G,0,230.2,270,MILK,BACK SHELF
NESTOGEN 1 135G,1,76,95,MILK,BACK SHELF
NESTOGEN 1 340G,1,191,210,MILK,BACK SHELF
NESTOGEN 2 135G,2,77,95,MILK,BACK SHELF
NESTOGEN 2 340G,1,189,210,MILK,BACK SHELF
NESTOGEN 3 135G,1,76,95,MILK,BACK SHELF
NESTOGEN 3 340G,0,184,210,MILK,BACK SHELF
S26 PINK 400G,0,575,665,MILK,BACK SHELF
S26 GOLD 400G,0,750,825,MILK,BACK SHELF
